Dataset,Aligner,SP,TC
BB11035,clustal,0.4132985658409387,0.18181818181818182
BB11035,mafft,0.3376792698826597,0.06060606060606061
BB11035,muscle,0.4915254237288136,0.24242424242424243
BB11038,clustal,0.6725559481743227,0.25287356321839083
BB11038,mafft,0.5901060070671378,0.1724137931034483
BB11038,muscle,0.7389085198272477,0.28735632183908044
BB12039,clustal,0.8126115407495539,0.39215686274509803
BB12039,mafft,0.8236168947055325,0.4019607843137255
BB12039,muscle,0.816775728732897,0.4117647058823529
BB12044,clustal,0.8700647304029552,0.5898959881129272
BB12044,mafft,0.8110617819500457,0.475482912332838
BB12044,muscle,0.8594231877181686,0.5854383358098069
BB20038,clustal,0.9171011881299622,0.2131979695431472
BB20038,mafft,0.9125626442930345,0.18274111675126903
BB20038,muscle,0.9183625204121854,0.14213197969543148
BB20041,clustal,0.5702569730703609,0.08574739281575898
BB20041,mafft,0.5551356220748501,0.0660486674391657
BB20041,muscle,0.5720848698466328,0.07647740440324449
BB30029,clustal,0.819982408978622,0.34511434511434513
BB30029,mafft,0.7860385646437303,0.262993762993763
BB30029,muscle,0.8333145514967565,0.32744282744282743
BB30030,clustal,0.7645873952723168,0.09353846153846154
BB30030,mafft,0.6837199140661981,0.07261538461538461
BB30030,muscle,0.771525656006594,0.09969230769230769
BB40002,clustal,0.2108196979192303,0.0
BB40002,mafft,0.11412644970098926,0.0
BB40002,muscle,0.21663753098573324,0.011536876802637
BB40039,clustal,0.8154078519360731,0.25396825396825395
BB40039,mafft,0.7521940816141175,0.19514472455648926
BB40039,muscle,0.8392946645720994,0.25210084033613445
BB50001,clustal,0.7562545788316927,0.21739130434782608
BB50001,mafft,0.7216280851852164,0.15830546265328874
BB50001,muscle,0.7371645347907,0.1806020066889632
BB50014,clustal,0.8027027633735156,0.3532796317606444
BB50014,mafft,0.7698879834781243,0.30609896432681244
BB50014,muscle,0.83424248546479,0.34062140391254314
